Cement ,Coarse aggregate,Fine aggregate,Water doseage,Superplastizer,% of fiber,Fiber Length ,Diameter of Fiber,Tensile stength of Fiber,Flexural Strength
413.3,1195,650,186,0,0.25,60,1,1100,8.03
413.3,1195,650,186,0,0.5,60,1,1100,7.92
413.3,1195,650,186,0,0.75,60,1,1100,6.75
413.3,1195,650,186,0,0.25,60,1,1100,8.76
413.3,1195,650,186,0,0.5,60,1,1100,7.76
413.3,1195,650,186,0,0.75,60,1,1100,6.25
413.3,1195,650,186,0,0.25,60,1,1100,8.95
413.3,1195,650,186,0,0.75,60,1,1100,7.79
413.3,1195,650,186,0,0.5,60,1,1100,6.49
413.3,1195,650,186,0,0.25,60,1,1100,8.67
413.3,1195,650,186,0,0.5,60,1,1100,7.28
413.3,1195,650,186,0,0.75,60,1,1100,6.78
413.3,1195,650,186,0,0.25,60,1,1100,8.97
413.3,1195,650,186,0,0.5,60,1,1100,7.21
413.3,1195,650,186,0,0.75,60,1,1100,6.78
308,1213,728,185,0,0.2,35,0.55,1100,3.51
308,1198,731,185,0,0.35,35,0.5,1100,3.1
308,1183,734,185,0.3,0.5,35,0.55,1100,3.56
308,1134,744,185,0.6,1,35,0.55,1100,4.01
308,1085,754,185,0.9,1.5,35,0.55,1100,4.37
308,1036,764,185,1.8,2,35,0.55,1100,5.9
389,1188,683,175,1.2,0.2,35,0.55,1100,4.15
389,1173,686,175,1.4,0.35,35,0.55,1100,4.11
389,1158,689,175,1.6,0.5,35,0.55,1100,4.46
389,1109,698,175,1.8,1,35,0.55,1100,4.37
529,1105,636,164,3.7,0.2,35,0.55,1100,5.18
529,1090,639,164,4,0.35,35,0.55,1100,6.04
529,1075,642,164,4,0.5,35,0.55,1100,5.65
529,1027,652,164,4.2,1,35,0.55,1100,6.51
529,978,662,164,4.8,1.5,35,0.55,1100,7.2
529,929,671,164,5.8,2,35,0.55,1100,8.32
268,1185,725,185,0,0.63,50,1,1000,2.93
418,1115,550,185,0,0.63,50,1,1000,3.7
524,1056,488,185,0,0.63,50,1,1000,4.8
336,1145,750,195,0,1,30,0.75,1100,5.52
336,1145,750,195,0,1,40,0.75,1100,6.49
336,1145,750,195,0,1,30,0.75,1100,5.27
336,1145,750,195,0,1,40,0.75,1100,5.78
336,1145,750,195,0,1,50,0.75,1100,6.79
336,1145,750,195,0,1,60,0.75,1100,6.04
336,1145,750,195,0,1,30,0.75,1100,7
336,1145,750,195,0,1,40,0.75,1100,6.46
336,1145,750,195,0,1,50,0.75,1100,5.8
336,1145,750,195,0,1,60,0.75,1100,7.18
336,1145,750,195,0,1,50,0.75,1100,7.42
336,1145,750,195,0,1,60,0.75,1100,6.24
521,1080,652,172,5.2,1,30,0.75,1100,7.98
521,1080,652,172,5.2,1,40,0.75,1100,8.6
521,1080,652,172,5.2,1,30,0.75,1100,7.23
521,1080,652,172,5.2,1,40,0.75,1100,8.22
521,1080,652,172,5.2,1,50,0.75,1100,8.78
521,1080,652,172,5.2,1,60,0.75,1100,7.71
521,1080,652,172,5.2,1,30,0.75,1100,8.94
521,1080,652,172,5.2,1,40,0.75,1100,8.15
521,1080,652,172,5.2,1,50,0.75,1100,6.96
521,1080,652,172,5.2,1,60,0.75,1100,9.31
521,1080,652,172,5.2,1,50,0.75,1100,8.75
521,1080,652,172,5.2,1,60,0.75,1100,7.3
480,965.8,727.8,264,0,0.5,32.2,0.99,380,6.09
480,942.3,739.2,264,0,1,32.2,0.99,380,7.26
480,942.3,750.5,264,0,1.5,32.2,0.99,380,7.55
480,895.1,769.1,264,0,2,32.2,0.99,380,8.68
500,1129,556,215,0,1,30,0.55,1345,19.5
400,1087,730,172,0,0.5,32,0.8,1100,5.26
400,1073,730,172,0,1,32,0.8,1100,7.62
400,1060,730,172,0,1.5,32,0.8,1100,9.86
400,1046,730,172,0,2,32,0.8,1100,10.42
267,1145,829,160,0,0.4,50,0.9,1000,6.09
267,1105,868,160,0,0.4,35,0.75,1180,6.64
267,1204,770,160,0,0.4,35,0.55,1325,5.43
267,1145,829,160,0,0.4,35,0.62,1250,5.72
267,1204,770,160,0,0.2,35,0.62,1250,5.07
275,1137,823,165,0,0.5,35,0.62,1250,6.07
283,1110,837,170,0,0.7,35,0.62,1250,6.89
258,1150,832,160,0,0.4,35,0.62,1250,5.23
415,1038,752,195,0,0.4,35,0.62,1250,5.29
513,1012,675,200,0,0.4,35,0.62,1250,6.94
550,1050.5,682,137.5,1.6,0.5,40,0.62,1250,5.6
550,1050.5,682,137.5,1.6,1,40,0.62,1250,8.67
550,1050.5,682,137.5,1.6,1.5,40,0.62,1250,12.27
550,1050.5,682,137.5,1.6,0.5,50,0.62,1250,6.53
550,1050.5,682,137.5,1.6,1,50,0.62,1250,8.8
550,1050.5,682,137.5,1.6,1.5,50,0.62,1250,13.33
550,1050.5,682,137.5,1.6,0.5,60,0.75,1250,6.8
550,1050.5,682,137.5,1.6,1,60,0.75,1250,9.33
550,1050.5,682,137.5,1.6,1.5,60,0.75,1250,13.6
450,1053,715.5,157.5,0.7,0.5,40,0.62,1250,6.03
450,1053,715.5,157.5,0.7,1,40,0.62,1250,9.6
450,1053,715.5,157.5,0.7,1.5,40,0.62,1250,10.75
450,1053,715.5,157.5,0.7,0.5,50,0.62,1250,6.48
450,1053,715.5,157.5,0.7,1,50,0.62,1250,8.45
450,1053,715.5,157.5,0.7,1.5,50,0.62,1250,9.12
450,1053,715.5,157.5,0.7,0.5,60,0.75,1250,6.29
450,1053,715.5,157.5,0.7,1,60,0.75,1250,9.03
450,1053,715.5,157.5,0.7,1.5,60,0.75,1250,11.16
350,1078,798,157.5,0.4,0.5,40,0.62,1250,4.51
350,1078,798,157.5,0.4,1,40,0.62,1250,5.41
350,1078,798,157.5,0.4,1.5,40,0.62,1250,9.75
350,1078,798,157.5,0.4,0.5,50,0.62,1250,5.43
350,1078,798,157.5,0.4,1,50,0.62,1250,7.31
350,1078,798,157.5,0.4,1.5,50,0.62,1250,9.93
350,1078,798,157.5,0.4,0.5,60,0.75,1250,5.93
350,1078,798,157.5,0.4,1,60,0.75,1250,9.2
350,1078,798,157.5,0.4,1.5,60,0.75,1250,9.6
325,965,891,179,0.9,0.33,60,0.75,1050,4.9
325,965,891,179,0.9,0.67,60,0.75,1050,6.8
325,965,891,179,0.9,1,60,0.75,1050,11.7
325,965,891,179,0.9,0.33,60,0.71,2000,6.4
325,965,891,179,0.9,0.67,60,0.71,2000,8.3
325,965,891,179,0.9,1,60,0.71,2000,15
396,913,842,178,1.4,0.33,60,0.75,1050,5.4
396,913,842,178,1.4,0.67,60,0.75,1050,8.8
396,913,842,178,1.4,1,60,0.75,1050,12.1
396,913,842,178,1.4,0.33,60,0.71,2000,10.7
396,913,842,178,1.4,0.67,60,0.71,2000,15.7
396,913,842,178,1.4,1,60,0.71,2000,16.1
487,850,785,170,1.8,0.33,60,0.75,1050,5.4
487,850,785,170,1.8,0.67,60,0.75,1050,7.6
487,850,785,170,1.8,1,60,0.75,1050,14
487,850,785,170,1.8,0.33,60,0.71,2000,11.5
487,850,785,170,1.8,0.67,60,0.71,2000,16.5
487,850,785,170,1.8,1,60,0.71,2000,17.3
385,877,914,177,3.9,0.5,60,0.75,1050,5.94
385,871,907,177,4.6,1,60,0.75,1050,7.84
354,873,908,177,4.3,0.5,60,0.75,1050,6.16
354,866,901,177,5,1,60,0.75,1050,8.25
450,868,906,162,5.9,0.5,60,0.75,1050,7.95
450,864,899,162,6.5,1,60,0.75,1050,9.11
414,864,899,162,6.1,0.5,60,0.75,1050,8.51
414,858,893,162,6.3,1,60,0.75,1050,9.43
338,760,1049.2,230.2,0.7,0.5,60,0.75,1050,6.76
338,760,1049.2,230.2,0.7,0.75,60,0.75,1050,6.95
338,760,1049.2,230.2,0.7,1,60,0.75,1050,7.43
338,760,1049.2,230.2,0.7,1.25,60,0.75,1050,7.52
400,1140,750,160,8,0.5,30,0.5,1700,5.74
267,1190,805,189,0,0.38,60,0.9,1400,4.48
267,1190,805,189,0,0.51,60,0.9,1400,4.6
267,1190,805,189,0,0.64,60,0.9,1400,4.59
490,808,808,205.8,17,0.5,30,0.8,1100,3.8
490,808,808,205.8,17,1,30,0.8,1100,6.14
490,808,808,205.8,17,1.5,30,0.8,1100,8.31
